strain,orien,roundness,aspect,size,tilt,nearest_grain,ferrite_bainite,size4,division
2.0,3.0,0.464,0.855,1.435116297282481,87.429,32.0,0.0,0.8869136189208239,38.199181446111865
2.0,3.0,0.5529999999999999,0.884,0.3935312083953325,70.483,24.1868,0.0,0.2094917378024904,46.76616915422886
2.0,2.0,0.33,0.866,0.4326885425640222,77.377,25.2389,0.0,0.2819328060145665,34.841628959276015
2.0,1.0,0.209,0.337,0.9035554859425172,81.19800000000002,21.9317,0.0,0.5971493460725193,33.911159263271955
2.0,0.0,0.445,0.614,0.3132586733495184,38.57900000000001,22.3607,0.0,0.2486490719711802,20.62500000000001
2.0,3.0,0.157,0.293,0.9652282872582034,3.727000000000004,39.5601,0.0,0.7655258829978855,20.689655172413797
2.0,3.0,0.359,0.511,0.5521184117785262,46.566,32.0,0.0,0.467930143315843,15.248226950354619
2.0,2.0,0.392,0.835,0.943691753465424,20.035,25.2389,0.0,0.675464014409899,28.42323651452281
2.0,0.0,0.238,0.748,1.1727621583522594,89.596,41.0,0.0,0.6578432140339886,43.906510851419036
2.0,3.0,0.244,0.901,1.0944474900148795,53.475,38.4838,0.0,0.6049808129062574,44.72271914132378
2.0,3.0,0.434,0.665,0.4395410760435429,41.285,22.3607,0.0,0.2486490719711802,43.42984409799554
1.0,1.0,0.35,0.767,0.3279426736627771,40.034,35.7351,0.0,0.14488213642415226,55.82089552238807
2.0,1.0,0.14400000000000002,0.816,5.1208003759104095,65.832,55.0091,1.0,2.989662463779466,41.617281590518076
2.0,3.0,0.245,0.634,0.3994048085206359,44.412,34.7131,1.0,0.10964053567233142,72.54901960784314
0.0,2.0,0.378,0.309,0.33577414049651505,9.084000000000003,70.3491,1.0,0.2153653379277939,35.8600583090379
1.0,0.0,0.18,0.7440000000000001,0.6470749471375988,49.111,37.6431,0.0,0.471845876732712,27.080181543116478
2.0,3.0,0.377,0.564,0.6314120134701229,43.869,41.0,0.0,0.5560341451953951,11.937984496124015
0.0,3.0,0.059,0.487,6.0282715952697945,88.626,47.0425,0.0,4.616649698488527,23.41669373173109
2.0,1.0,0.369,0.5329999999999999,0.4228992090218498,5.774,51.1566,1.0,0.08223040175424857,80.55555555555556
2.0,0.0,0.29,0.627,1.2882762941498944,4.53,33.541,0.0,0.2819328060145665,78.11550151975685
0.0,3.0,0.421,0.504,0.6040018795520401,52.476000000000006,34.2053,1.0,0.5090453441929673,15.721231766612648
2.0,1.0,0.199,0.866,0.8311144177304409,39.44,45.2769,0.0,0.3485002741013392,58.0683156654888
2.0,1.0,0.366,0.393,0.7244106821207612,57.697,45.2769,0.0,0.6558853473255541,9.459459459459453
1.0,1.0,0.221,0.333,1.1453520244341764,48.07599999999999,41.1096,1.0,0.7851045500822303,31.452991452991448
0.0,3.0,0.239,0.54,3.3459942047145432,6.5260000000000105,39.8121,1.0,0.943691753465424,71.79637214745465
2.0,1.0,0.469,0.536,0.5991072127809539,88.14200000000002,37.6431,1.0,0.48750881040018795,18.627450980392155
2.0,0.0,0.374,0.301,0.4963192105881432,68.141,40.3113,0.0,0.3974469418122014,19.921104536489167
2.0,2.0,0.239,0.461,0.3328373404338633,0.7340000000000089,33.541,0.0,0.20557600438562146,38.23529411764706
2.0,0.0,0.28,0.631,0.3533949408724254,27.348000000000006,32.249,0.0,0.14096640300728328,60.11080332409972
2.0,0.0,0.099,0.569,3.1423760670373566,17.342000000000013,35.7351,0.0,1.7053019030464407,45.73208722741433
3.0,3.0,0.429,0.696,0.6402224136580782,20.82499999999999,37.9473,1.0,0.471845876732712,26.29969418960245
2.0,0.0,0.128,0.316,2.0371603101260867,12.51,32.249,0.0,1.3039392278173705,35.9923113887554
2.0,0.0,0.531,0.4920000000000001,0.4904456104628397,8.551,49.0408,1.0,0.2701856057639596,44.91017964071857
2.0,0.0,0.556,0.441,0.4444357428146292,69.321,40.3113,0.0,0.4072362753543739,8.370044052863435
1.0,1.0,0.192,0.8079999999999999,1.995066175894745,61.465,53.0094,1.0,1.6289451014174956,18.35132482826299
2.0,3.0,0.158,0.764,6.0282715952697945,5.656000000000006,53.0377,1.0,1.9735296421019657,67.26209808379343
1.0,1.0,0.401,0.31,0.679379747826768,16.836000000000013,34.0147,1.0,0.17033440363380062,74.92795389048992
2.0,1.0,0.243,0.382,3.540801942203775,63.383,58.3095,1.0,2.7488448586420238,22.366602156483264
1.0,1.0,0.482,0.475,0.4747826767953637,14.201,44.643,1.0,0.3034693398073459,36.08247422680411
2.0,3.0,0.181,0.629,0.7821677500195787,6.556000000000013,29.5466,1.0,0.5247082778604433,32.91614518147685
1.0,2.0,0.466,0.424,0.34947920745555644,80.50399999999998,25.0599,0.0,0.3073850732242149,12.044817927170882
2.0,1.0,0.147,0.989,2.537395254131099,39.392,46.0109,1.0,2.0655493773983866,18.595679012345684
2.0,3.0,0.35100000000000003,0.637,0.7488840159761924,54.603,28.6356,1.0,0.4698880100242776,37.254901960784295
0.0,3.0,0.136,0.398,2.495301119899757,41.28399999999999,50.6952,0.0,1.9637403085597933,21.302471557473513
2.0,1.0,0.463,0.742,1.0895528232437934,34.41,43.566,1.0,0.5736549455713055,47.34950584007187
1.0,2.0,0.202,0.534,0.3504581408097737,47.16900000000001,25.0599,0.0,0.29172213955673904,16.75977653631284
